Fragments on Exile and Lineage
Ἀποσπάσματα περὶ Φυγῆς καὶ Γένους
by Euripides
eul_wid: cbm-am    eul_aid: cbm

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The title "Fragments on Exile and Lineage" refers not to an ancient work by Euripides but to a modern scholarly compilation of passages from his lost dramas, thematically united by their exploration of displacement and ancestry. Euripides, the Athenian tragedian of the fifth century BCE, wrote numerous plays, of which only a fraction survive complete. The majority are known only through fragments, and the twin themes of exile and lineage recur with striking frequency across both his extant and fragmentary output. These fragments are preserved through quotations by later Greek and Roman authors, papyrus discoveries, and entries in ancient library catalogs. A modern collection organized under this title would constitute an editorial synthesis drawn from these disparate sources.

The content of such a compilation would center on fundamental Euripidean preoccupations. Exile is portrayed as a profound psychological and political catastrophe, often explored through the plight of refugees, suppliants, and outcasts. Lineage, or the claims of noble birth, is frequently subjected to critical scrutiny, with dramatic situations emphasizing the conflict between inherited status and demonstrated personal virtue. Characters of disputed or obscured parentage are common, serving to question aristocratic privilege. These themes converge in a deeper exploration of identity, examining how the self is constructed or shattered when traditional ties of family and city are broken, and probing the tension between innate human nature and social convention.

Euripides’ treatment of these subjects constituted a critical interrogation of the social and political foundations of Classical Athens. His psychologically complex portraits of displacement and his destabilization of traditional aristocratic values exerted a profound influence on later Hellenistic and Roman drama. Furthermore, his sententious and philosophically charged verses on these topics were extensively quoted and debated by subsequent philosophers, rhetoricians, and moralists, securing his legacy as a pivotal and provocative voice in the ancient literary tradition.

Text
----

book 1.1	ποίαν
book 403.1	τίς ἆρα μήτηρ ἢ πατὴρ κακὸν μέγα βροτοῖς ἔφυσε τὸν δυσώνυμον
book 403.2	φθόνον; ποῦ καί ποτ’ οἰκεῖ σώματος λαχὼν μέρος; ἐν
book 403.3	χερσὶν ἢ σπλάγχνοισιν ἢ παρ’ ὄμματα;[ln_5]ἔσθ’ ἡμῖν ὡς ἦν μόχθος ἰατροῖς μέγας
book 403.4	τομαῖς ἀφαιρεῖν ἢ ποτοῖσι
book 403.5	φαρμάκοις
book 403.6	πασῶν μεγίστην τῶν ἐν ἀνθρώποις νόσων.
book 404.1	τό τ’ εὐγενὲς
book 404.2	πολλὴν δίδωσιν ἐλπίδ’ ὡς ἄρξουσι γῆς.
book 405.1	τὴν εὐγένειαν, κἂν ἄμορφος ᾖ γάμος, τιμῶσι
book 405.2	πολλοὶ προσλαβεῖν τέκνων χάριν, τό τ’ ἀξίωμα μᾶλλον ἢ τὰ χρήματα.
book 406.1	μὴ σκυθρωπὸς ἴσθ’ ἄγαν
book 406.2	πρὸς
book 406.3	τοὺς κακῶς
book 406.4	πράσσοντας, ἄνθρωπος γεγώς.
book 407.1	ἀμουσία
book 407.2	τοι μηδ’ ἐπ’ οἰκτροῖσιν δάκρυ
book 407.3	στάζειν· κακὸν δέ, χρημάτων ὄντων ἅλις, φειδοῖ πονηρᾷ μηδέν’ εὖ ποιεῖν βροτῶν.
book 408.1	ἐν ἐλπίσιν
book 408.2	χρὴ τοὺς
book 408.3	σοφοὺς ἄγειν βίον.
book 409.1	μήτ’ εὐτυχοῦσα πᾶσαν ἡνίαν χάλα κακῶς
book 409.2	τε πράσσους’ ἐλπίδος κεδνῆς ἔχου.
book 410.1	τοιάνδε
book 410.2	χρὴ γυναικὶ πρόσπολον ἐᾶν ἥτις τὸ μὲν δίκαιον οὐ σιγήσεται, τὰ δ’ αἰσχρὰ μισεῖ καὶ κατ’ ὀφθαλμοὺς ἔχει.
book 411.1	ἴστω δὲ μηδεὶς
book 411.2	ταῦθ’ ἃ σιγᾶσθαι
book 411.3	χρεών· μικροῦ γὰρ ἐκ λαμπτῆρος Ἰδαῖον λέπας
book 411.4	πρήσειεν ἄν
book 411.5	τις, καὶ πρὸς ἄντρ’ εἰπὼν ἕνα πύθοιντ’ ἂν ἀστοὶ πάντες ἃ κρύπτειν
book 411.6	χρεών.
book 412.1	ἐμοὶ γὰρ εἴη
book 412.2	πτωχός, εἰ δὲ βούλεται
book 412.3	πτωχοῦ κακίων, ὅστις ὢν εὔνους ἐμοὶ φόβον
book 412.4	παρελθὼν τἀπὸ καρδίας ἐρεῖ.
book 413.1	ἐπίσταμαι δὲ πάνθ’ ὅς’ εὐγενῆ χρεών, σιγᾶν θ’ ὅπου δεῖ καὶ λέγειν ἵν’ ἀσφαλές, ὁρᾶν θ’ ἃ δεῖ με κοὐχ ὁρᾶν ἃ μὴ πρέπει, γαστρὸς κρατεῖν δέ· καὶ γὰρ ἐν κακοῖσιν ὢν[ln_5]ἐλευθέροισιν ἐμπεπαίδευμαι
book 413.2	τρόποις.
book 414	φειδώμεθ’ ἀνδρῶν εὐγενῶν, φειδώμεθα, κακοὺς δ’ ἀποπτύωμεν, ὥσπερ ἄξιοι.
book 415.1	ἄνασσα, πολλοῖς ἔστιν ἀνθρώπων κακά, τοῖς δ’ ἄρτι λήγει, τοῖς δὲ κίνδυνος μολεῖν. κύκλος γὰρ αὑτὸς καρπίμοις
book 415.2	τε γῆς
book 415.3	φυτοῖς θνητῶν
book 415.4	τε γενεᾷ· τῶν μὲν αὔξεται βίος,[ln_5]τῶν δὲ φθίνει
book 415.5	τε καὶ θερίζεται πάλιν.
book 416.1	πολλοί γε θνητῶν τῷ θράσει τὰς
book 416.2	συμφορὰς ζητοῦς’ ἀμαυροῦν κἀποκρύπτεσθαι κακά.
book 417.1	κέκτησο δ’ ὀρθῶς ἃν ἔχῃς ἄνευ ψόγου, κἂν
book 417.2	σμικρὰ σῴζου, τοὔνδικον σέβους’ ἀεί, μὴ δ’ ὡς κακὸς ναύκληρος εὖ πράξας
book 417.3	ποτὲ ζητῶν τὰ πλείον’, εἶτα πάντ’ ἀπώλεσεν.
book 418	γίγνωσκε τἀνθρώπεια μηδ’ ὑπερμέτρως ἄλγει· κακοῖς γὰρ οὐ σὺ πρόσκεισαι μόνη.
book 419.1	βίᾳ νυν ἕλκετ’ ὦ κακοὶ τιμὰς βροτοί, καὶ κτᾶσθε
book 419.2	πλοῦτον πάντοθεν θηρώμενοι, σύμμικτα μὴ δίκαια καὶ δίκαι’ ὁμοῦ· ἔπειτ’ ἀμᾶσθε τῶνδε δύστηνον θέρος.
book 420.1	ὁρᾷς
book 420.2	τυράννους διὰ μακρῶν ηὐξημένους, ὡς μικρὰ τὰ σφάλλοντα, καὶ μί’ ἡμέρα τὰ μὲν καθεῖλεν ὑψόθεν, τὰ δ’ ἦρ’ ἄνω. ὑπόπτερος δ’ ὁ πλοῦτος· οἷς γὰρ ἦν
book 420.3	ποτε,[ln_5]ἐξ ἐλπίδων πίπτοντας ὑπτίους ὁρῶ.
book 421	κοίλοις ἐν ἄντροις ἄλυχνος, ὥστε θήρ, μόνος
book 422	πολλοὶ παρῆσαν, ἀλλ’ ἄπιστα Θεσσαλῶν
book 423	.. δ’ ἄρα
book 424	Φλεγύαντος υἱέ, δέσποτ’ Ἰξίων ..
book 425.1	ὅστις γὰρ ἀστῶν
book 425.2	πλέον ἔχειν πέφυκ’ ἀνήρ, [οὐδὲν
book 425.3	φρονεῖ δίκαιον οὐδὲ βούλεται] φίλοις τ’ ἄμικτός ἐστι καὶ πάσῃ πόλει.
book 426.1	τά τοι μέγιστα πάντ’ ἀπείργασται βροτοῖς τόλμ’ ὥστε νικᾶν· οὔτε γὰρ
book 426.2	τυραννίδες
book 426.3	χωρὶς πόνου γένοιντ’ ἂν οὔτ’ οἶκος μέγας.
book 428.1	οἱ γὰρ Κύπριν
book 428.2	φεύγοντες ἀνθρώπων ἄγαν νοσοῦς’ ὁμοίως
book 428.3	τοῖς ἄγαν θηρωμένοις.
book 429.1	ἀντὶ πυρὸς γὰρ ἄλλο πῦρ μεῖζον ἐβλάστομεν γυναῖ‐ κες
book 429.2	πολὺ δυσμαχώτερον.
book 430.1	ἔχω δὲ τόλμης καὶ θράσους διδάσκαλον ἐν
book 430.2	τοῖς ἀμηχάνοισιν εὐπορώτατον, Ἔρωτα, πάντων δυσμαχώτατον θεόν.
book 431.1	Ἔρως γὰρ ἄνδρας οὐ μόνους ἐπέρχεται οὐδ’ αὖ γυναῖκας, ἀλλὰ καὶ θεῶν ἄνω
book 431.2	ψυχὰς
book 431.3	χαράσσει κἀπὶ πόντον ἔρχεται· καὶ τόνδ’ ἀπείργειν οὐδ’ ὁ παγκρατὴς
book 431.4	σθένει[ln_5]Ζεύς, ἀλλ’ ὑπείκει καὶ θέλων ἐγκλίνεται.
book 432.1	αὐτός
book 432.2	τι νῦν δρῶν εἶτα δαίμονας κάλει· τῷ γὰρ
book 432.3	πονοῦντι καὶ θεὸς
book 432.4	συλλαμβάνει.
book 433.1	ἔγωγε
book 433.2	φημὶ καὶ νόμον γε μὴ σέβειν ἐν
book 433.3	τοῖσι δεινοῖς τῶν ἀναγκαίων
book 433.4	πλέον.
book 434	οὐ γὰρ κατ’ εὐσέβειαν αἱ θνητῶν τύχαι, τολμήμασιν δὲ καὶ χερῶν ὑπερβολαῖς ἁλίσκεταί τε πάντα καὶ θηρεύεται.
book 435.1	τί δ’ ἢν λυθείς με διαβάλῃς, παθεῖν
book 435.2	σε δεῖ;
book 436.1	ὦ πότνι’ αἰδώς, εἴθε
book 436.2	τοῖς πᾶσιν βροτοῖς
book 436.3	συνοῦσα τἀναίσχυντον ἐξῃροῦ φρενῶν.
book 437.1	ὁρῶ δὲ τοῖς
book 437.2	πολλοῖσιν ἀνθρώποις ἐγὼ τίκτουσαν ὕβριν τὴν πάροιθ’ εὐπραξίαν.
book 438.1	ὕβριν
book 438.2	τε τίκτει
book 438.3	πλοῦτος ἢ φειδὼ βίου.
book 439.1	φεῦ φεῦ, τὸ μὴ τὰ πράγματ’ ἀνθρώποις ἔχειν
book 439.2	φωνήν, ἵν’ ἦσαν μηδὲν οἱ δεινοὶ λέγειν. νῦν δ’ εὐτρόχοισι
book 439.3	στόμασι τἀληθέστατα κλέπτουσιν, ὥστε μὴ δοκεῖν ἃ χρὴ δοκεῖν.
book 440	Θησεῦ, παραινῶ σοὶ τὸ λῷστον, εἰ φρονεῖς, γυναικὶ πείθου μηδὲ τἀληθῆ κλύων.
book 441.1	χρόνος διέρπων πάντ’ ἀληθεύειν
book 441.2	φιλεῖ.
book 442.1	.. πρὸς ἵππων εὐθὺς ὁρμήσας
book 442.2	στάσιν
book 443.1	ὦ λαμπρὸς αἰθὴρ ἡμέρας θ’ ἁγνὸν φάος, ὡς ἡδὺ λεύσσειν
book 443.2	τοῖς
book 443.3	τε πράσσουσιν καλῶς καὶ τοῖσι δυστυχοῦσιν, ὧν πέφυκ’ ἐγώ.
book 444.1	ὦ δαῖμον, ὡς οὐκ ἔστ’ ἀποστροφὴ βροτοῖς τῶν ἐμφύτων
book 444.2	τε καὶ θεηλάτων κακῶν.
book 445.1	ἀλλ’ οὐ γὰρ ὀρθῶς
book 445.2	ταῦτα κρίνουσιν θεοί.
book 446.1	ὦ μάκαρ, οἵας ἔλαχες
book 446.2	τιμάς, Ἱππόλυθ’ ἥρως, διὰ σωφροσύνην· οὔποτε θνητοῖς ἀρετῆς ἄλλη δύναμις μείζων·[ln_5]ἦλθε γὰρ ἢ πρόσθ’ ἢ μετόπισθεν τῆς εὐσεβίας χάρις ἐσθλή.
book 447	δίοπος
book 448.1	[ln_1]οὐρανὸς ὑπὲρ ἡμᾶς καινῶς
book 448.2	φοτῶν ἕδος δαιμόνιον τόδ’ ἐν μέσῳ τοῦ οὐρανοῦ τε καὶ χθονός, οἳ μὲν ὀνομάζουσι χάος
book 449.1	ἐχρῆν γὰρ ἡμᾶς σύλλογον
book 449.2	ποιουμένους τὸν φύντα θρηνεῖν εἰς ὅς’ ἔρχεται κακά, τὸν δ’ αὖ θανόντα καὶ πόνων
book 449.3	πεπαυμένον
book 449.4	χαίροντας εὐφημοῦντας ἐκπέμπειν δόμων.
book 450.1	εἰ μὲν γὰρ οἰκεῖ νερτέρας ὑπὸ χθονὸς ἐν
book 450.2	τοῖσιν οὐκέτ’ οὖσιν, οὐδὲν ἂν
book 450.3	σθένοι.
book 451.1	εἰ γάρ ς’ ἔμελλεν, ὡς σὺ φής, κτείνειν πόσις, χρῆν καὶ σὲ μέλλειν, ὡς χόλος
book 451.2	παρήλυθεν.
book 452	ἐκεῖνο γὰρ πέπονθ’ ὅπερ πάντες βροτοί· φιλῶν μάλιστ’ ἐμαυτὸν οὐκ αἰσχύνομαι.
book 453.1	Εἰρήνα βαθύπλουτε καὶ καλλίστα μακάρων θεῶν, ζῆλός μοι σέθεν ὡς
book 453.2	χρονίζεις. δέδοικα δὲ μὴ πρὶν πόνοις[ln_5]ὑπερβάλῃ με γῆρας, πρὶν σὰν
book 453.3	χαρίεσσαν
book 453.4	προσιδεῖν ὥραν καὶ καλλιχόρους ἀοιδὰς
book 453.5	φιλοστεφάνους
book 453.6	τε κώμους. ἴθι μοι, πότνα, πόλιν.[ln_10]τὰν δ’ ἐχθρὰν
book 453.7	στάσιν εἶργ’ ἀπ’ οἴ‐ κων τὰν μαινομέναν τ’ ἔριν θηκτῷ τερπομέναν
book 453.8	σιδάρῳ.
book 454.1	τεθνᾶσι
book 454.2	παῖδες οὐκ ἐμοὶ μόνῃ βροτῶν οὐδ’ ἀνδρὸς ἐστερήμεθ’, ἀλλὰ μυρίαι τὸν αὐτὸν ἐξήντλησαν ὡς ἐγὼ βίον.
book 455.1	καὶ δὶς ἕπτ’ αὐτῆς τέκνα Νιόβης θανόντα Λοξίου
book 455.2	τοξεύμασιν
book 456.1	ὠνητέραν δὴ τήνδ’ ἐγὼ δίδωμί σοι
book 456.2	πληγήν
book 457	αἰδὼς ἐν ὀφθαλμοῖσι γίγνεται, τέκνον.
book 458.1	αἱ τύχαι δέ με μισθὸν λαβοῦσαι τῶν ἐμῶν τὰ φίλτατα
book 458.2	σοφὴν ἔθηκαν.
book 459.1	κέρδη
book 459.2	τοιαῦτα
book 459.3	χρή τινα κτᾶσθαι βροτῶν, ἐφ’ οἷσι μέλλει μήποθ’ ὕστερον
book 459.4	στένειν.
book 460	λύπη μὲν ἄτῃ περιπεσεῖν αἰσχρᾷ τινι· εἰ δ’ οὖν γένοιτο, χρὴ περιστεῖλαι καλῶς κρύπτοντα καὶ μὴ πᾶσι κηρύσσειν τάδε· γέλως γὰρ ἐχθροῖς γίγνεται τὰ τοιάδε.
book 461.1	οὐκ ἂν δύναιο μὴ καμὼν εὐδαιμονεῖν, αἰσχρόν
book 461.2	τε μοχθεῖν μὴ θέλειν νεανίαν.
book 462	ἐπίσταμαι δὲ καὶ πεπείραμαι λίαν ὡς τῶν ἐχόντων πάντες ἄνθρωποι φίλοι.
book 463.1	οὐ γάρ
book 463.2	ποτ’ ἄνδρα τὸν
book 463.3	σοφὸν γυναικὶ χρὴ δοῦναι
book 463.4	χαλινοὺς οὐδ’ ἀφέντ’ ἐᾶν κρατεῖν· πιστὸν γὰρ οὐδέν ἐστιν· εἰ δέ τις κυρεῖ γυναικὸς ἐσθλῆς, εὐτυχεῖ κακὸν λαβών.
book 464	γαμεῖτε νῦν, γαμεῖτε, κᾆτα θνῄσκετε ἢ φαρμάκοισιν ἐκ γυναικὸς ἢ δόλοις.
book 465	〈Ἅιδησ〉 κρινεῖ ταῦτ’ . . . . . . .
book 466.1	ἐγὼ χάριν σὴν
book 466.2	παῖδά σου κατακτάνω;
book 467.1	τί γὰρ
book 467.2	ποθεῖ τράπεζα; τῷ δ’ οὐ βρίθεται; πλήρης μὲν ὄψων
book 467.3	ποντίων, πάρεισι δὲ μόσχων τέρειναι σάρκες ἀρνεία
book 467.4	τε δαὶς καὶ πεπτὰ καὶ κροτητὰ τῆς ξουθοπτέρου[ln_5]πελάνῳ μελίσσης ἀφθόνως δεδευμένα.
book 468.1	τὰ δ’ ἄλλα
book 468.2	χαῖρε κύλικος ἑρπούσης κύκλῳ.
book 469	νόμος δὲ 〈δείπνου〉 λείψαν’ ἐκβάλλειν κυσίν.
book 470	πρὶν ἂν .. ἐκφλῆναί με καὶ μαθεῖν λόγον
book 471	ἀλλ’ ὦ Κρῆτες, Ἴδης τέκνα
book 472.1	Φοινικογενοῦς [παῖ τῆς
book 472.2	Τυρίας] τέκνον Εὐρώπης καὶ τοῦ μεγάλου Ζηνός, ἀνάσσων Κρήτης ἑκατομπτολιέθρου· ἥκω ζαθέους ναοὺς
book 472.3	προλιπών,[ln_5]οὓς αὐθιγενὴς
book 472.4	τμηθεῖσα δοκὸς
book 472.5	στεγανοὺς
book 472.6	παρέχει
book 472.7	Χαλύβῳ πελέκει καὶ ταυροδέτῳ κόλλῃ κραθεῖς’ ἀτρεκεῖς ἁρμοὺς κυπαρίσσου. ἁγνὸν δὲ βίον
book 472.8	τείνων ἐξ οὗ[ln_10]Διὸς Ἰδαίου μύστης γενόμην, καὶ νυκτιπόλου Ζαγρέως βροντὰς
book 472.9	τοὺς ὠμοφάγους δαίτας
book 472.10	τελέσας μητρί τ’ ὀρείῳ δᾷδας ἀνασχὼν καὶ κουρήτων[ln_15]βάκχος ἐκλήθην ὁσιωθείς. πάλλευκα δ’ ἔχων εἵματα
book 472.11	φεύγω γένεσίν
book 472.12	τε βροτῶν καὶ νεκροθήκης οὐ χριμπτόμενος τήν τ’ ἐμψύχων βρῶσιν ἐδεστῶν
book 472.13	πεφύλαγμαι.
book 473.1	φαῦλον ἄκομψον, τὰ μέγιστ’ ἀγαθόν, πᾶσαν ἐν ἔργῳ περιτεμνόμενον
book 473.2	σοφίαν, λέσχης ἀτρίβωνα
book 474.1	πόνος γάρ, ὡς λέγουσιν, εὐκλείας
book 474.2	πατήρ.
book 475	τὸ τῆς ἀνάγκης οὐ λέγειν ὅσον ζυγόν.
book 476.1	Τευθράντιον δὲ σχῆμα Μυσίας
book 476.2	χθονός
book 477.1	δέσποτα
book 477.2	φιλόδαφνε Βάκχε, παιὰν Ἄπολλον εὔλυρε
book 478	θριάζειν
book 480.1	Ζεὺς ὅστις ὁ Ζεύς, οὐ γὰρ οἶδα
book 480.2	πλὴν λόγῳ
book 481	Ζεύς, ὡς λέλεκται τῆς ἀληθείας ὕπο, Ἕλλην’ ἔτικτεν
book 482.1	ἣ πρῶτα μὲν τὰ θεῖα
book 482.2	προυμαντεύσατο
book 482.3	χρησμοῖσι
book 482.4	σαφέσιν ἀστέρων ἐπ’ ἀντολαῖς
book 483.1	ἐγὼ γυνὴ μέν εἰμι, νοῦς δ’ ἔνεστί μοι·[ln_1125]αὐτὴ δ’ ἐμαυτῆς οὐ κακῶς γνώμης ἔχω· τοὺς δ’ ἐκ
book 483.2	πατρός
book 483.3	τε καὶ γεραιτέρων λόγους
book 483.4	πολλοὺς ἀκούσας’ οὐ μεμούσωμαι κακῶς.
book 484.1	κοὐκ ἐμὸς ὁ μῦθος, ἀλλ’ ἐμῆς μητρὸς πάρα, ὡς οὐρανός
book 484.2	τε γαῖά τ’ ἦν μορφὴ μία· ἐπεὶ δ’ ἐχωρίσθησαν ἀλλήλων δίχα, τίκτουσι πάντα κἀνέδωκαν εἰς φάος,[ln_5]δένδρη, πετεινά, θῆρας οὕς θ’ ἅλμη
book 484.3	τρέφει γένος
book 484.4	τε θνητῶν.
book 486.1	δικαιοσύνας τὸ χρύσεον
book 486.2	πρόσωπον
book 487	ὄμνυμι δ’ ἱερὸν αἰθέρ’, οἴκησιν Διός
book 489	τὸν δ’ ἀμφὶ βοῦς ῥιφέντα Βοιωτὸν καλεῖν
book 490.1	σύν
book 490.2	τοι θεῷ χρὴ τοὺς
book 490.3	σοφοὺς ἀναστρέφειν βουλεύματ’ ἀεὶ πρὸς τὸ χρησιμώτερον.
book 491.1	ἴστω δ’ ἄφρων ὢν ὅστις ἄτεκνος ὢν τὸ πρὶν
book 491.2	παῖδας θυραίους εἰς δόμους ἐκτήσατο, τὴν μοῖραν εἰς τὸ μὴ χρεὼν
book 491.3	παραστρέφων· ᾧ γὰρ θεοὶ διδῶσι μὴ φῦναι τέκνα,[ln_5]οὐ χρὴ μάχεσθαι
book 491.4	πρὸς τὸ θεῖον, ἀλλ’ ἐᾶν.
book 492.1	ἀνδρῶν δὲ πολλοὶ τοῦ γέλωτος εἵνεκα ἀσκοῦσι χάριτας κερτόμους· ἐγὼ δέ πως μισῶ γελοίους, οἵτινες τήτει
book 492.2	σοφῶν ἀχάλιν’ ἔχουσι
book 492.3	στόματα, κεἰς ἀνδρῶν μὲν οὐ[ln_5]τελοῦσιν ἀριθμόν, ἐν γέλωτι δ’ εὐπρεπεῖς οἰκοῦσιν οἴκους καὶ τὰ ναυστολούμενα ἔσω δόμων σῴζουσι
book 493.1	ἄλγιστόν ἐστι θῆλυ μισηθὲν γένος· αἱ γὰρ
book 493.2	σφαλεῖσαι
book 493.3	ταῖσιν οὐκ ἐσφαλμέναις αἶσχος γυναιξὶ καὶ κεκοίνωνται ψόγον
book 493.4	ταῖς οὐ κακαῖσιν αἱ κακαί· τὰ δ’ εἰς γάμους[ln_5]οὐδὲν δοκοῦσιν ὑγιὲς ἀνδράσιν
