Strategicon
Στρατηγικόν
by Pseudo-Maurice the Tactician
eul_wid: vvi-aa    eul_aid: vvi

Period   Late Antique
Dialect  Technical Koine
Domain   Science
Format   Treatise

The Strategicon is a comprehensive military manual written in Koine Greek during the late 6th or early 7th century CE. Although traditionally credited to the Byzantine Emperor Maurice, modern scholars often attribute it to an anonymous author or committee writing under his authority, leading to the designation "Pseudo-Maurice." The work is a practical guide organized into twelve books containing 691 passages. It systematically covers cavalry and infantry tactics, drill, formations, logistics, and the organization of the army. A significant feature is its detailed analysis of the empire's various enemies—including Persians, Avars, Slavs, and Franks—describing their tactics and advising on tailored counter-strategies. Unlike earlier classical theorists, the Strategicon reflects the realities of its time, emphasizing the central role of heavy cavalry and combined-arms warfare.

The manual was composed during a period of intense military pressure on the Byzantine Empire, and it is thought to have been written to standardize doctrine and improve the effectiveness of commanders. The complete text survives through a relatively strong manuscript tradition, with the oldest copy dating from the 11th century. Its practical approach made it highly influential, serving as a foundational reference for later Byzantine military writings and impacting neighboring cultures through translations like the Old Slavonic version.

Text
----

pin 1 t	ΛΟΓΟΣ Αʹ. ΕΙΣΑΓΩΓΗ. ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
3 5 13	Ἀναγκαῖόν ἐστι λοιπὸν καὶ τὴν πρὸς ἄλληλα τὰ βάνδα συμφωνίαν καὶ τάξιν ἐθίζεσθαι, ὡς ἐπὶ παρατάξεως, ἀλλ’ ἵνα μὴ πουβλικίζηται ἡ πᾶσα τάξις τοῖς ἐχθροῖς. οὐδήποτε γὰρ χρὴ πρὸ τῆς μάχης τὴν πᾶσαν τάξιν ἐν τῷ ἅμα, τουτέστιν εἰς πρώτην καὶ δευτέραν, διὰ γυμνασίαν μόνην τάσσειν, ἢ πλαγιοφύλακας ἢ ὑπερκεραστὰς ἢ τοὺς ἐν αὐτοῖς δρουγγιστὶ λανθάνοντας ἢ ἐνέδρους μετ’ αὐτῶν. Τὰ γὰρ τοιαῦτα στρατηγίας μᾶλλον ἢ τάξεως εἶναι, ἅπερ προπουβλικίζεσθαι ἐν ταῖς γυμνασίαις οὐ συμφέρει, ἀλλὰ πρὸς τὸ παρὸν κατὰ τὴν ἀπαιτοῦσαν χρείαν ποιεῖν. Δεῖ τοίνυν εἴτε καθ’ ἑαυτὸ τὸ βάνδον γυμνάζεται, εἴτε μοῖρα, εἴτε μέρος, εἴτε καὶ ἡ πρώτη παράταξις, ἐν τρισὶ μέρεσι τάσσειν.
3 5 14	Καὶ εἰ μὲν βάνδον ἐστὶ τὸ καθ’ ἑαυτὸ γυμναζόμενον, τοὺς πλείους αὐτοῦ ἐν τάξει κουρσόρων ποιεῖν ἀπὸ δέκα δέκα καβαλλαρίων ἐπὶ ἁπλῆς ἀκίας ἑκατέρωθεν αὐτοῦ, ἰσομετώπους τάσσειν ἐν τάξει δηφενσόρων, ἄλλους τε ὀλίγους καβαλλαρίους μέχρι δέκα τάσσειν δι’ ὄψεως ἐναντίους, ὥστε τὴν συμβολὴν πρὸς αὐτοὺς εἰκάζεσθαι. Κινοῦντος δὲ αὐτοῦ ὡς ἐπὶ μάχης ἐξέρχεσθαι σὺν ἐλασίᾳ τοὺς κούρσορας καὶ χωρίζεσθαι τῶν δηφενσόρων, καὶ τρέχοντας ἐπ’ εὐθείας ὡς ἓν ἢ δεύτερον μίλιον ὑποστρέφειν ἄχρι τοῦ ἡμίσεως διαστήματος καὶ ἐκκλίνοντας ὅτε δεξιά, ὅτε ἀριστερὰ τρέχειν.
3 5 15	Καὶ τρίτον τέταρτον οὕτως, εἶτα πάλιν κυκλοειδῶς ἐλαύνειν καὶ μετὰ ταῦτα προστρέχοντας ἐν τῷ μεταξὺ τόπῳ τῶν δηφενσόρων, ὅθεν καὶ ἐξῆλθον, ἅμα τοῖς σφισὶ δηφένσορσιν ἐλαύνειν ὡς εἰς ἀπάντησιν τῶν καταδιωκόντων αὐτούς. Οὕτως δὲ ποιεῖν καὶ μοίρας γυμναζομένης· καὶ τὰ μὲν τῶν βάνδων αὐτῆς τάσσειν κούρσορας, τὰ δὲ δηφένσορας.
3 5 16	Καὶ πάλιν ἐναλλάσσειν αὐτά, ὅτε τοὺς κούρσορας δηφένσορας ποιεῖν, ὅτε δὲ τοὺς δηφένσορας κούρσορας, ὥστε πρὸς τὴν δοκοῦσαν χρείαν ἑτοίμους αὐτοὺς εἶναι. Ὁμοίως δὲ ποιεῖν καὶ μέρους γυμναζομένου καὶ παρατάξεως πρώτης, ὁμοίως δὲ καὶ παρατάξεως δευτέρας.
3 5 17	Ἐπισκεπτέον δὲ εἰς τὰς κυκλοειδεῖς ἐλασίας τῶν κουρσόρων, ἔνθα διάφορα βάνδα εὑρίσκονται, ὥστε εἰς δύο ἀρχὰς τοῦτο μερίζεσθαι, καὶ ἐλαύνειν τὴν ἐναντίαν ἀλλήλων, καὶ ὑπαντούσας τὰς ἀρχὰς τὴν μὲν μίαν ἔξω, τὴν δὲ δευτέραν ἐσωτέρω τρέχειν, ἵνα μὴ προσκρούσματα τῶν καβαλλαρίων γίνωνται. Δεῖ δὲ καὶ πλαγιοφύλακας καὶ ὑπερκεραστὰς ἰδίᾳ μετ’ αὐτῶν δρουγγιστὶ λανθανόντων ἐν αὐτοῖς γυμνάζειν κατά τε τῶν μικροτέρων ἑκατέρωθεν παρατάξεων εἰς τὸ ἰσοῦσθαι καὶ μὴ ἐμπεριλαμβάνεσθαι ὑπ’ αὐτῶν, κατά τε τῶν κονδοτέρων εἰς τὸ τὰς κυκλώσεις ἁρμοδίως κατά τε τῶν ἴσων ὑπερκεράσεις καὶ τὰς κυκλώσεις ποιεῖσθαι ὀλίγων καβαλλαρίων ἄχρι ἑνὸς ἢ δευτέρου βάνδου ἐπὶ ἁπλῆς ἀκίας ἀντιτασσομένων αὐτοῖς ὡς ἐναντίων, ἵνα πρὸς αὐτοὺς κανονίζωσιν οἱ ὑπερκερασταὶ πρότερον ὑπερκερᾶν αὐτούς· εἰθ’ οὕτως οἱ συνόντες αὐτοῖς δρουγγιστὶ λανθάνοντες αὐτοὶ μόνοι ἄφνω ὑπεξερχόμενοι μετ’ ἐλασίας ὀξείας τῷ νώτῳ τῶν ἐναντίων ἐπιτίθενται.
3 5 19	Αὗται αἱ γυμνασίαι καὶ ἁπλαῖ εἰσι· καὶ κοινῶς καὶ ἰδίᾳ τὰ τάγματα ἁρμοδίως γυμνάζουσι, καὶ τοῖς ἐχθροῖς ἄγνωστος ἡ τάξις φυλάττεται, ὥστε καὶ ἄλλας, τὰς ὑποκειμένας, ἐκ περιττοῦ κεῖσθαι. Καὶ δεῖ ταύτας ἐγγράφως δίδοσθαι μεράρχαις τε καὶ μοιράρχαις. Ἐθίζειν δὲ τὰς τοιαύτας γυμνασίας μὴ μόνον ἐν ὁμαλοῖς, ἀλλὰ καὶ δυσβάτοις τόποις ὑψηλοῖς τε καὶ κατωφερέσιν.
3 5 20	Καὶ ἐν καιρῷ δὲ καύσωνος καλόν ἐστι γυμνάζειν καὶ ἐθίζειν· οὐδεὶς γὰρ οἶδε τί συμβήσεται. Στάσις μέρους.
3 6 1	Γνῶσις σημείων δηλούντων τὴν στάσιν τοῦ μέρους καὶ τῶν ἐν αὐτῷ. Μ Ε ὁ μεράρχης Μ Ο ὁ μοιράρχης Ρ̶ βάνδον κουρσόρων βάνδον δηφενσόρων Κ Φ ὁ παῖς τοῦ φοιδεράτου, ἐάν ἐστι χρήσιμος ⁘ μέρος φοιδεράτου, ἐάν ἐστι χρήσιμος ΤΑΞΙΣ μέρος κουρσόρων μέρος δηφενσόρων μέρος κουρσόρων [Omitted graphic marker] Γνῶσις σημείων δηλούντων τὴν στάσιν τῆς πρώτης καὶ δευτέρας τάξεως.
3 7 1	Φ ὁ ὑποστράτηγος ὁ δηποτάτος ὁ πλαγιοφύλαξ υ π ὁ ὑπερκεραστής κ α ὁ ἀρμάτος τοῦ ὀπτιμάτου λ τὸ ἀδέστρατον, ὅταν σύνεστιν Ϟ βάνδον τουλδοφύλακος, ὅταν σύνεστιν Ν + ὁ ταξίαρχος τῶν ὀπτιμάτων ω * ὁ στρατηγός Πῶς δεῖ τάσσεσθαι τὴν πᾶσαν παράταξιν, ἐὰν ἀνάγκη γένηται καὶ τὸν τοῦλδον συντάσσεσθαι αὐτῇ; Τάξις ἡ λεγομένη πρόμαχος μὴ διεστηκότων τῶν μερῶν ἀπ’ ἀλλήλων ἢ μόνος, ὥστε μὴ συντρίβεσθαι αὐτὰ καὶ διακεκριμένα φαίνεσθαι.
3 8 1	μέρος ἀριθμῶν καὶ μέρος φοιδεράτων μέρος ἐκλέκτων ἀνδρῶν καὶ ταγμάτων ἄλλων πλαγιοφυλάκων [Omitted graphic marker] Λέγει κληθῆναι εἰς ἕκαστον μέρος τοῦ ἐν αὐτῷ στρατοῦ εἰς τὰ ἄκρα κούρσορας, τὸ δὲ ὡς ἐν τῷ μέσῳ δηφένσορας. Χρὴ βάλλειν εἰς τὰς τάξεις μῆκος δέκα ἑπτὰ καὶ βάθος ὀκτώ. Μέρος Ἰλλυρικιανῶν βάνδα ὑπερκερασταὶ βάνδα ἡμίσεος δευτέρου [Omitted graphic marker] Λέγει κληθῆναι ὡς ἕκαστον μέρος τοῦ ἐν αὐτῷ στρατοῦ εἰς τὰ ἄκρα κούρσορας, τὸ δὲ ὡς ἐν τῷ μέσῳ δηφένσορας.
3 8 3	Τάξις δευτέρα, ἡ λεγομένη βοηθός, ἔχουσα τὸ τρίτον μέρος τοῦ παντὸς στρατοῦ καὶ τῶν μερῶν διεστηκότων ἀπὸ ἑνὸς σαγιττοβόλου ἀλλήλων κατὰ πλευράν. [Omitted graphic marker] ὁ τοῦλδος, ἀδέστρατα πρώτη τάξις, νωτοφύλακες νωτοφύλακες [Omitted graphic marker] ἀδέστρατα δευτέρα τάξις [Omitted graphic marker] Εἰ δὲ συμβῇ εἰς πλῆθος καὶ ὑπὲρ τὰς δεκαπέντε χιλιάδας εἶναι τὸν στρατόν, οὐκ ἄτοπόν ἐστι, μᾶλλον δὲ καὶ ἁρμοδιώτερον, ὡς τέσσαρα μέρη, τρία δὲ χωρία ἐν τῇ δευτέρᾳ τάξει γίνεσθαι, κατὰ τὸ προκείμενον σχῆμα, διὰ τὸ ἕκαστον μέρος τῆς πρώτης παρατάξεως ἴδιον χωρίον ἔχειν.
3 8 5	Εἰ δὲ σύμμετρός ἐστιν ὁ στρατός, τουτέστιν ἀπὸ δεκαπέντε χιλιάδων μέχρι πέντε ἢ ἕξ, ἀπὸ δύο μερῶν καὶ ἑνὸς εὐκαίρου χωρίου γίνεσθαι τὴν δευτέραν τάξιν, κατὰ τὸ ἑξῆς ὑποκείμενον σχῆμα, τουτέστι τοῦ ἑνὸς μέρους. Εἰ δὲ ὀλιγώτερός ἐστιν ὁ στρατός, ὡς ἀπὸ πέντε χιλιάδων καὶ κάτω, ἓν μέρος ποιεῖν τὴν δευτέραν τάξιν.
3 8 7	Ταῦτα δὲ τὰ εὔκαιρα χωρία τῆς δευτέρας τάξεως τὰ ἀπὸ μέρους εἰς μέρος δεῖ ἕκαστον αὐτῶν εἶναι κατὰ τὸ ποσὸν τῶν προτασσομένων παρατάξεων τῆς πρώτης τάξεως, ὥστε τὸ τέταρτον μέρος ἔχειν εἰς πλάτος οἷον ἔχει τὸ μέρος τῆς πρώτης τάξεως ἑξακοσίους καβαλλαρίους· εἰς μέτωπον δ’ ἔσται τὸ εὔκαιρον χωρίον τῆς δευτέρας ἑκατὸν πεντήκοντα. ἔχειν εἰς μέτωπον καὶ τὰ βάθη τῶν ταγμάτων ὡς ἀνωτέρω εἴρηται, τῶν ἐν τοῖς αὐτοῖς εὐκαίροις χωρίοις τασσομένων. Τὸ μὲν καλῶς ἔχον, χρεία ἐπὶ τέσσαρας τὸ βάθος γίνεσθαι, ἵνα, εἰ γένηται ἀνάγκη, καὶ ἐν συμβολῇ χρησιμεύωσιν Εἰ δὲ σύμμετρός ἐστιν ὁ στρατός, ἀρκεῖ ὁ στρατὸς οὐ διὰ μάχην, ἀλλὰ διὰ τὸ τὴν δευτέραν τάξιν ἀδιάστροφον μένειν δι’ αὐτῶν.
3 9 t	Μέρος ἕν. [Omitted graphic marker] Τάξις δευτέρα [Omitted graphic marker] Χρὴ λαβεῖν εἰς μῆκος εἴκοσι καὶ τρεῖς καὶ εἰς βάθος ἑπτά.
3 9 1	Ὑπόδειγμα τοῦ προδηλωθέντος σχήματος ἑνὸς μέρους. Ὅταν ὡς εἰκὸς τοῦτο τὸ μέρος τρεπόμενον καταφεύγει εἰς τὴν δευτέραν καὶ ὑποστελλόμενον ἐν τῷ μέσῳ ὑποδέχονται αὐτῷ, κράζοντος τοῦ βανδοφόρου τοῦ ὑποστελλομένου τάγματος ἢ τοῦ ἐν αὐτῷ ἄρχοντος· suscipe! Στάσις συμμέτρου στρατοῦ.
3 10 1	Τὸ βάθος ὀκτὼ καὶ τὸ μῆκος ἐννέα. [Omitted graphic marker] Τάξις δευτέρα [Omitted graphic marker] Τοῦτο τὸ σχῆμα, τουτέστιν ὥστε ἓν μέρος γίνεσθαι ἐπὶ τῆς δευτέρας τάξεως καὶ μὴ πλείονα, ἁρμόδιόν ἐστιν, ἡνίκα σύμμετρός ἐστιν ὁ στρατός, τουτέστιν ἀπὸ δύο μέχρι πέντε ἢ ἓξ χιλιάδων, καὶ ἔλαττον ὀφειλούσης τῆς πρώτης τάξεως, εἰ γένηται καιρὸς εἰς τὰ ἄκρα ἤτοι πλάγια τῆς δευτέρας τάξεως προτρέχειν καὶ μὴ δι’ ὄψεως. ἀπὸ δὲ πέντε μέχρι δέκα ἢ δώδεκα χιλιάδων τοῦ παντὸς στρατοῦ καθεστῶτος ἀναγκαίως εἰς δύο μέρη γίνεται ἡ δευτέρα τάξις, εὔκαιρον ἔχουσα δηλονότι τὸ μέσον τῶν δύο μερῶν, ὡς προγέγραπται ἐν τῇ τοῦ μέρους καταγραφῇ.
3 10 2	εἰς τὸ ἐκεῖσε τὴν πρώτην τάξιν τρεπομένην ὡς εἰκὸς καταφεύγειν ἀπὸ μέντοι δεκαπέντε ἢ εἴκοσι χιλιάδων καὶ πλεῖον. Χρὴ τὴν δευτέραν τάξιν εἰς τέσσαρα μέρη καὶ τρία εὔκαιρα χωρία γίνεσθαι, ὡς ἐν τῷ περὶ αὐτῆς εἴρηται λόγῳ. μάλιστα ἐν πλήθει στρατοῦ ἀναγκαία ἡ τοιαύτη στάσις τῆς τάξεως γίνεται. Πῶς δεῖ ταῖς μακροτέραις καὶ κονδοτέραις τῶν ἐχθρῶν παρατάξεσιν ἁρμόζεσθαι διὰ τῶν πλαγιοφυλάκων καὶ ὑπερκεραστῶν; Παράταξις τῶν ἐχθρῶν Πῶς δεῖ τάσσεσθαι τὴν πρόμαχον παράταξιν, ὅταν ἔχῃ τοὺς ὑπερκεραστὰς λανθάνοντας μέχρι τοῦ καιροῦ τῆς συμβολῆς; Ὄψις Πλαγιοφύλακες Μέρος Μέρος Μέρος Ὑπερκερασταί Ὁ δροῦγγος λανθάνων Ἡ τῶν ἐχθρῶν τάξις Πῶς δεῖ τὴν πρόμαχον τάσσειν, ὅταν πρὸς μακροτέραν ἔχῃ καὶ μὴ φθάσῃ ἰσωθῆναι διὰ τοῦ δεξιοῦ αὐτοῦ μέρους τῶν ἐναντίων; Ὄψις Πλαγιοφύλακες Μέρος Μέρος Μέρος Ὑπερκερασταί Ἡ τῶν ἐχθρῶν τάξις Ἐὰν δὲ πολὺ μακροτέρα εὑρεθῇ ἑκατέρωθεν ἡ τῶν ἐχθρῶν παράταξις, δεῖ πρὸ τῶν ἄλλων μερῶν τὸ μέσον προσβάλλειν τὸν πόλεμον καὶ μὴ τὰ ἄκρα.
3 10 7	Πῶς δεῖ περιλαμβάνειν τὴν ἐναντίαν, ὅταν ἑκατέρωθεν κονδοτέρα ἡ ἐναντία εὑρεθῇ καὶ πλησιάζωσιν αἱ πλαγίαι τάξεις; Ὄψις Μέρος Μέρος Μέρος Πλαγιοφύλακες Ὑπερκερασταί Δεῖ εἰς τὰς κυκλώσεις ἤτοι ὑπερκεράσεις μέλλοντας συμβάλλειν ὀλίγον ἐμβραδύνειν τὰ μέρη ἐν τῷ περιπατεῖν, ἵνα φθάσωσι τὰ κέρατα πρὸ τῆς τῶν μερῶν συμβολῆς ἐμπεριλαμβάνειν τὴν ἐναντίαν.
3 10 8	εἰ μέντοι συμβῇ τὴν ἡμετέραν ὡς κονδοτέραν ὁμοίως ἐμπεριλαμβάνεσθαι, δεῖ τοὺς τῆς δευτέρας τάξεως ἐπακολουθοῦντας καὶ κατὰ νώτου τῶν κυκλούντων ἔρχεσθαι. Πῶς δεῖ ὑπερκερᾶν, ὅταν πρὸς ἴσην ἔχῃ; Ἡ τῶν ἐχθρῶν τάξις — — — — — — — — — — Ὄψις Πλαγιοφύλακες Μέρος Μέρος Μέρος Ὑπερκερασταί —— —— —— —— —— Περὶ μανδάτων καθολικῶν.
3 11 1	Τῶν Ῥωμαϊκῶν ταγμάτων ἰδιαζόντως τασσομένων καὶ γυμναζομένων εἶτα καὶ τῶν μερῶν δεῖ τοὺς ἑκάστου μέρους ἄρχοντας μεταστείλασθαι καὶ ἐγγράφως προοιμιάσασθαι ταῦτα· εἰ λαγωοὶ διωκόμενοι ἢ ἄλλο τι τῶν εὐτελῶν ζῴων ἐν τοῖς κυνηγίοις οὐ πάντως ἔξωθεν ἔξω τὴν φυγὴν ποιοῦνται, ἀλλ’ ἀποβλεπόμενα πρὸς τὸν τόνον καὶ τὴν ὁρμὴν τῶν ἐπιτιθεμένων αὐτοῖς οὕτως καὶ τὰς ὑποχωρήσεις ποιοῦνται, πόσῳ μᾶλλον δεῖ τοὺς ἀνθρώπους ἐν συνέσει ὄντας καὶ ὑπὲρ τοιούτου ἀγωνιζομένους προσεχόντως καὶ τὰς διώξεις καὶ τὰς ὑποχωρήσεις ποιεῖσθαι ἐν ταῖς μάχαις καὶ μὴ ὡς ἐπὶ ὕδατος ἐπὶ τὰ ἐμπρὸς ἢ ἐπὶ τὰ ὀπίσω, μικρᾶς ὡς εἰκός τινος ὠθήσεως ἢ τοῖς ἐχθροῖς γινομένης ἢ παρ’ αὐτῶν ἐπαγομένης ἀμέτρως ἐκχεῖσθαι καὶ 〈οὕτως ἐλαυνομένουσ〉 κινδυνεύειν, ἀλλὰ πάντα ὑπομένειν καὶ ἐξ οἱουδήποτε τρόπου σπουδάζειν τὸν ἐχθρὸν νικᾶν. οὐδὲ γὰρ τὸ πρὸς ὀλίγον ὠθῆσαι τὸν ἐναντίον καὶ ἀφιεῖν τελεία νίκη ἐστίν, οὐδὲ 〈τὸ〉 πρὸς μικρὸν ὑποχωρῆσαι καὶ πάλιν ἀντιστραφῆναι ἧττα.
3 11 3	ἀλλὰ τὸ τοῦ πολέμου πέρας ἑκάτερα δεικνύειν καὶ πρὸς αὐτὸ δεῖ ἀγωνίζεσθαι, ἵνα τοίνυν ἐντελεστέρως γνωσθῇ. εἰ ἄρα ἐνόησαν οἱ ἄρχοντες τὰς αἰτίας τῆς λεχθείσης τάξεως καὶ γυμνασίας, δι’ ἃς αἱ τοιαῦται ἐφεύρηνται κινήσεις, δεῖ μετὰ τὴν ἰδιάζουσαν τῶν μερῶν γυμνασίαν τάξαι ἅπαξ ἢ τὸ πολὺ δεύτερον τὴν ὅλην παράταξιν καὶ ἑρμηνεῦσαι αὐτοῖς δι’ αὐτῶν τῶν κινήσεων. Περὶ μανδάτων τοῖς τῆς πρώτης τάξεως διδομένων.
