Scholia-Clouds
Σχόλια εἰς Νεφέλας
by Aristophanes Scholia
eul_wid: mlw-ar    eul_aid: mlw

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia to Aristophanes' Clouds is a corpus of ancient and Byzantine explanatory annotations on the Athenian comic playwright's work. Compiled over many centuries, from the Hellenistic period to the Middle Ages, these notes represent a layered tradition of scholarship rather than a unified composition by a single author. Transmitted in the margins and between the lines of medieval manuscripts of the play, the scholia comprise thousands of individual glosses that address the linguistic, historical, and cultural challenges posed by Old Comedy. Their content is diverse, encompassing lexical explanations of obscure terms, commentary on Athenian legal and social institutions, identifications of contemporary figures such as Socrates, notes on mythological references, and records of variant readings from different textual traditions. This compilation served a fundamentally pedagogical function, aiming to elucidate a complex and historically distant literary work for students and readers in later periods. The scholia survive in a fragmentary state, having been copied, abbreviated, and sometimes corrupted through successive generations of scribes. The most significant witness to the tradition is the 10th-century Codex Ravennas. As a repository of ancient exegetical activity, the scholia provide modern scholars with an invaluable resource for understanding classical Athenian society, the history of textual criticism, and the reception of Aristophanes' comedy across antiquity.

Text
----

book 1a	προλογίζει ὁ Στρεψιάδης supra text. V57VtChisParlChalcb (ὁ om. V57VaChalc).
book 261c beta	ψεύσῃ] ψεύδη λέγῃς· ἢ καὶ ψεύσῃ ἀντὶ τοῦ ἀπατήσῃς Cr, ἀπατήσεις Cant.2Va.
book 261d	ἐκράτει γὰρ ὁ Σωκράτης ἐν ταῖς χερσὶν αὐτοῦ δύο τινὰς λίθους καὶ ἔτριβεν αὐτοὺς ἐπάνω τοῦ Στρεψιάδου. διὰ τοῦτο γοῦν φησί· “μὰ τὸν Δία, οὐ ψεύσῃ· γενήσομαι παιπάλη” Cr.
book 262a	(καταπαττόμενος ⸓) γρ. πατούμενος (i.e. καταπατούμενος), ὅπερ ἐστὶ κρεῖττον Vt(m2).
book 262b	καταπαττόμενος] δροσιζόμενος A.
book 262c	παιπάλη γενήσομαι] εἰς λεπτὸν συντριβήσομαι Par, ὥσπερ λεπτὸν ἄλευρον Cant.2 τοῦ ἀλεύρου Lb (cf. sch.vet. 262 post in.), κόνις Va A(hic add. nonnulla evan.), πασπάλη (cf. d) ἔσομαι Chalc.
book 262d	παιπάλη λέγεται ἡ ἰδιωτικῶς πασπάλη· καὶ γίνεται ἀπὸ τοῦ πάλω τὸ κινῶ “πάλη” καὶ κατὰ ἀναδιπλασιασμὸν “παπάλη”, καὶ πλεονασμῷ τοῦ ι “παιπάλη”.
book 262e	τελευταῖος τῶν τριμέτρων ἰάμβων Reg(c.t.) (cf. Tr1 262c).
book 263a	στίχοι ἀναπαιστικοὶ ... καταληκτικοὶ ιβʹ, ὧν ... ἐπακούσατε ... θυσίαν Reg(int.) (cf. Tr1 263a; ἐπ– etiam text. Reg).
book 263b	εὐφημεῖν] ἡσυχάζειν Cant.2, εὐφήμους λόγους λέγειν Lb, βοᾶν μετ’ εὐφημίας Vict (Hesch. Ε 7270).
book 263c	ὑπακούειν] εὐτάκτως ἀκούειν Lb.
book 264a	ante vs.] εὐχὴ Σωκράτους h.
book 264b	δέσποτ’] αὐθέντη Cant.2.
book 264c	ἀμέτρητ’] 〈ἀν〉αρίθμητε Par (cf. sch.vet. 264a in.), ἀπλήρωτε Cant.2, πλεῖστε Lb, ὁ μὴ δυνάμενος μετρηθῆναι Chalc.
book 264d	ἔχεις] κρατεῖς Cant.2LbHo, ἐπέχεις Lb, ἀρκεῖς, ἐμπεριέχεις Chalc, περιέχεις Harl.5.
book 264e	μετέωρον] ὑψηλὴν Cant.2lChalc καὶ Chalc μεγάλην ChalcHarl.5 οὖσαν LbChalcHarl.5, μέσην A.
book 265a	λαμπρός] λαμπρέ CrlChalcHoHarl.5.
book 265b	σεμναί] σεβάσμιαι Cant.2LbHarl.5, τίμιαι Va.
book 265c alpha	βροντησικέραυνοι] τῶν βροντῶν καὶ τῶν κεραυνῶν αἴτιαι Cant.2, αἱ μετὰ κεραυνοῦ βροντῶσαι l, αἱ πέμπουσαι κεραυνὸν ἐν τῷ βροντᾶν Harl.5.
book 265c beta	βροντησικέραυνοι: ἤγουν αἱ ἐν τῷ βροντᾶν καὶ τοὺς κεραυνοὺς ἡμῖν ἐμφαίνουσαι.
book 266a	ἄρθητε] μετεωρίσθητε Harl.5.
book 266b	φάνητε ὦ] συνίζησις Reg.
book 266c	φυσικωτέρως ἐχρήσατο ὁ Ἀριστοφάνης τούτῳ HoHarl.5 τῷ ῥήματι τούτῳ l· · ἤγουν HoHarl.5 ὑψώθητε, μετεωρίσθητε. κατὰ μικρὸν γὰρ ὑψοῦνται αἱ νεφέλαι αἰρόμεναι ἀπὸ τῆς γῆς καὶ τῆς θα‐ λάσσης l.
book 266c,c2	φασὶ γὰρ κατὰ μικρὸν αἴρεσθαι καὶ ὑψοῦσθαι τὰς νεφέλας ἀπὸ τῆς γῆς ἢ τῆς θαλάσσης HoHarl.5.
book 266d	δέσποιναι] κυρίαι Cant.2lHarl.5, βασίλισσαι Chalc.
book 266e	τῷ φροντιστῇ] ἢ ἐμοὶ (hoc Tz1 266 et Th2Tr1/2 266b) ἢ τῷ Στρε‐ ψιάδῃ Cr, τῷ διδασκάλῳ Cant.2lHarl.5, τῷ μαθητῇ ChalcHarl.5.
book 266f	μετέωροι] ὑψηλαί lChalcHarl.5.
book 267a	πω] ἀκόμι Cant.2.
book 267b	μήπω ... γε] φανήτωσαν LbChalcHarl.5, ἐλθέτωσαν Va.
book 267c	τουτὶ] τὸ ἱμάτιον b.
book 267d	πτύξωμαι] σκεπασθῶ Cant.2 (cf. Tz 264, p. 447, l. 7), σκεπα‐ σθήσομαι Chalc, περιβάλωμαι Cant.2Va A, περικαλυφθήσομαι Lb, ἐνδύσωμαι Harl.5, καλυφθῶ Ba(m4), ἤγουν καλύψωμαι, συσπάσωμαι Vict.
book 267e alpha	τοῦτο εἴρηται ἀπὸ τῶν πτυχῶν τῶν ἢ ... σκεπόντων. ζωόφυτα λέγεται καὶ τὰ κοινῶς ὀστρείδια.
book 267e beta	τὸ πτύξασθαι ἀπὸ μεταφορᾶς εἴρηται τῶν ζωοφύτων, ἤγουν τῶν ὀστρά‐ κων, ἅπερ οἱονεὶ πτύχας ἤτοι πύλας τὰ ὄστρακα ἔχοντα καὶ ταῦτα συνάπτοντα ἑαυτοῖς περιποιοῦσι τὸ ἀσφαλές.
book 267f	πτύσσω σημαίνει δύο, τὸ ἐνδύομαι καὶ τὸ σφαλίζω Ho(mrg.).
book 267g	καταβρεχθῶ] καταβραχῶ Par(–βραχῶ etiam text.)Cr, μοσχευθῶ Pa(–βραχῶ text.).
book 268a	268] τοῦτο καθ’ ἑαυτόν Cr, “οὐ μωρὸν ἦν;” ἔξωθεν ἀττικώς Cr (cf. Tr2 268c), οὐ κακὸν δηλονότι, οὐκ εὔηθες Vt(m2), πῶς οὐ δεινόν; [μω‐ ρόν;] LbChalc, οὐκ ἦν μωρὸν καὶ ἀνόητον; h(mrg.) (cf. Tr2 268c), ἄχρηστόν ἐστιν Ho, ἦν ἀχρεῖον ἔργον Ba(m4).
book 268b	κυνῆν] καλυμαύχιον (cf. Ducang. s.v. καμελαύκιον) τῆς βροχῆς, σάπου(superscr. κ) Cant.2.
book 268c	κακοδαίμον’] κακότυχον Cant.2 Ba(m4), ἄθλιον lChalcHarl.5, δυστυχῆ Ho.
book 268d	ἔχοντα] κρατοῦντα Cant.2.
book 269a	δῆτ’] ἀργόν Cr, ἀληθῶς Harl.5.
book 269b	πολυτίμητοι] πολλῆς τιμῆς Cant.2Va πολλαῖς τιμαῖς LbChalc ἄξιαι Cant.2lChalc.
book 269c	ἐπίδειξιν] φανέρωσιν CrlChalcHarl.5.
book 270a	εἴτ’] ἀντὶ τοῦ ἤ Ba(m4).
book 270b alpha	Ὀλύμπου] ἀνατολ〈ικοῦ〉 Cr(m3).
book 270b beta	Ὄλυμποι ἕξ· Θεσσαλίας, Μακεδονίας, Μυσίας, Κιλικίας, ὄνομα ὄρους Ἤλιδος, Ἀρκαδίας.
book 270c	ἱεραῖς] τιμίαις Lb.
book 271a	Ὠκεανοῦ] τοῦ ποταμοῦ Lb.
book 271b	κήποισιν (sic)] παραδείσοις Chalc.
book 271c	ἱερὸν] θεῖον Cant.2, τίμιον lHarl.5, σεβάσμιον Lb.
book 271d	ἱστᾶτε] συνιστᾶτε (hoc accent.) Cr.
book 271e	Νύμφαις] μετὰ τῶν Νυμφῶν ἤγουν Νηρηΐδων Lb, ταῖς Νηρηΐσι Va(–ρίοισι cod.), ἐν ταῖς Νύμφαις Harl.5.
book 272a	ἄρα] ἀργόν Cr.
book 272b alpha	προχοὴ ἡ τοῦ ὕδατος κίνησις, [ἔκχυσις τοῦ ποταμοῦ,] πρόχους δὲ τὸ λεγόμενον A ξεστίον ParA (hic mrg. προχόοις ⸓) (cf. Tz 271a, l. 10—12, et 272c Tr1).
book 272b beta	προχοαῖς] ῥεύσεσι Cant.2, ῥεύμασι lChalcHoHarl.5.
book 272c	ἀρύεσθε] ἀντλεῖτε Cant.2lChalcHarl.5.
book 272d	πρόχουσιν] ποτηρίοις Cant.2, ὡς τὸ βουσίν Vt(m2), μέτροις Va (–χοῇσιν]) Harl.5 (–χόοις]), ἀγγείοις (cf. Tt) Vict (Hesch. Π 4095 Schm.).
book 273a	Μαιῶτιν] Ταταρία Cr(m3).
book 273b	ἔχετ’] κατοικεῖτε Cr, οἰκεῖτε Cant.2lChalc, ἔχω τὸ καταλαμβάνω Harl.5(mrg.).
book 273c	σκόπελον] ἀκρωτήριον Cant.2, ὄνομα ὄρους· ἤγουν αὐτὸν Lb τὸν ὑψηλὸν τόπον lHarl.5.
book 273d	νιφόεντα] τὸν ἀεὶ νιφόμενον (cf. sch.vet. 273b), χιονιζόμενον Vict.
book 273e alpha	Μίμας ὄρος ἐν τῇ Ἀσίᾳ καὶ ἐν τῇ Εὐρώπῃ, ὥσπερ καὶ Ὄλυμποι δύο, ἀνατολικὸς καὶ εὐρωπαῖος.
book 273e beta	Μίμαντος] Ζαγο (superscr. ε vel ρ cum accent.) Cr(m3) (an Ζάγρος?).
book 274a	ἐπακούσατε Chis [ὑπακούσατε ParHo]] ἐμοί Chis, ἐμοῦ καλοῦντος Par, ἡμῖν Ho, ἡμῶν Ba(m4).
book 274b	δεξάμεναι] ἐμοῦ ChisPar, παρ’ ἐμοῦ Chalc.
book 274c	ἱεροῖσι] ὕμνοις Cant.2, τοῖς μύσταις Cr, τοῖς ἀφιερωμένοις ἀνδράσιν Chalc ἡμῖν CrlChalcHoHarl.5.
book 275a	ἡ τοῦ παρόντος χοροῦ ᾠδὴ κώλων ἐστὶ ιδʹ, ὧν τὸ αʹ ἐλεγεῖόν ἐστι· τὸ δὲ ἐλεγεῖον σύγκειται ἐκ δύο δακτυλικῶν μονομέτρων ὑπερκαταλήκτων, τουτέστιν ἐκ βʹ ποδῶν καὶ συλλαβῆς καὶ πάλιν βʹ ποδῶν καὶ συλλαβῆς· τὸ βʹ ἀναπαιστικὸν δίμετρον ἀκατάληκτον συνιζήσεως γινομένης εἰς τὸ “εὐάγητον” τῆς α καὶ τῆς γη εἰς μακράν· τὸ γʹ δακτυλικὸν δίμετρον· τὸ δʹ ὅμοιον· τὸ εʹ δακτυλικὸν μονόμετρον· τὸ Ϟʹ ὅμοιον τῷ γʹ καὶ δʹ· τὸ ζʹ ὅμοιον τοῖς αὐτοῖς· τὸ ηʹ ὅμοιον· τὸ θʹ ὅμοιον· τὸ ιʹ δακτυλικὸν τρίμετρον· τὸ ιαʹ δακτυλικὸν δίμετρον βραχυκατάληκτον· τὸ ιβʹ δακτυλικὸν δίμετρον· τὸ ιγʹ ὅμοιον· τὸ ιδʹ ἀναπαιστικὸν δίμετρον καταληκτικόν. τούτοις κατὰ πάντα ὅμοιά εἰσι καὶ τὰ τῆς ἀντῳδῆς κῶλα ιδʹ ὄντα καὶ αὐτά.
book 275b	μετὰ τὴν τοῦ l Σωκράτους εὐχὴν αἱ Νεφέλαι οἱονεὶ HoHarl.5 παρακελεύονται δῆθεν HoHarl.5 ἀλλήλαις [ἑαυταῖς] ὥστε l πεισθείσας [πεισθῆναι] τῇ ἐπικλήσει τοῦ Va Σωκράτους l καὶ HoHarl.5 συναθροι‐ σθῆναι καὶ οὕτως αὐτῷ [οὕτω] φανῆναι τῷ Σωκράτει HoHarl.5.
book 275c	275] πρὸς ἑαυτὰς λέγουσιν αἱ Νεφέλαι ταῦτα h.
book 275d	ἀένναοι] ἄπαυστοι (ἄπαιστοι cod.)· ἀπὸ τοῦ νάω καὶ ῥέω· οἱ ἀεὶ ῥέοντες Lv(m2) (cf. sch.vet. 275b et Tz 274a, l. 1; Tz1 275), αἱ πανταχοῦ πορευόμεναι l, αἱ διόλου Chalc ὦ διαπαντὸς Harl.5 ναίουσαι ChalcHarl.5(hic νέ–) (cf. sch.vet. 275b) καὶ βρέχουσαι Chalc, ἀεὶ ῥέουσαι καὶ στάζουσαι Vict (ἀένν–], non ἀέν–] Db) (Hesch. Α 1367).
book 276	ἀρθῶμεν] ὅρα ἵνα κινηθῶμεν Cant.2, ἄγετε ἵνα VaChalc φέρε Harl.5 μετεωρισθῶμεν VaChalcHarl.5, ἀνυψωθῶμεν (Cang).
book 277a	δροσερὰν] δρόσου πλέα〈ν〉 Chalc.
book 277b	φύσιν] ἔχουσαι ParlChalcHoHarl.5 (cf. Tz1 277c).
book 277c	εὐάγητον] εὔρυτον Cr, πάντῃ φερομένην A.
book 277d	ἀφεῖσαι (post εὐάγητον) p.i.m.] ἤγουν καταλείψασαι τὸ ὕδωρ ὕειν, ἀλλὰ μόνον εἰς ἐπίδειξιν Reg (cf. Tr1 277e).
book 278	βαρυαχέος] μεγαλοκτύπου Cant.2, τοῦ βαρέως ἠχοῦντος Chalc.
book 279a	ὀρέων] ὀρῶν l ἤγουν Lb βουνῶν LbHarl.5.
book 279b	κορυφὰς] ἐξοχάς Cr, κεφαλάς Cant.2.
book 280a	ἵνα] ὅθεν ChisRegPar.
book 280b	δενδροκόμους] (post Th2Tr1/2 280a) ἢ τὰς κοπτομένας καὶ ἀφαι‐ ρουμένας τὰ δένδρα Chalc, τὰς δένδρα κομώσας Harl.5 (cf. sch.vet. 280a).
book 280c	ἀφ’ ὧν δηλονότι ἔστιν ἰδεῖν [ὁρᾶν Va] τὰ πόρρω· τοῖς γὰρ εἰς ὕψος οὖσι φαίνονται τὰ πόρρω HoHarl.5. σκοπιὰ δὲ λέγεται ὁ ὑψηλὸς τόπος· τοῖς γοῦν ἀφ’ ὑψη‐ λοῦ τόπου ὁρῶσι συμβαίνει μάλιστα καὶ τὰ πόρρω ὁρᾶν l.
book 280c,c2	μὲν καὶ ἡ ἀπὸ ὕψους ὅρασις, λέγε‐ ται δὲ καὶ αὐτὸς ὁ ὑψηλὸς τόπος· ὅθεν καὶ σκοπιωρὸς ὁ ἀπὸ ὑψηλοῦ τόπου ὁρῶν πόρρω HoHarl.5.
book 281a	σκοπιὰς] τοὺς ὑψηλοὺς τόπους Cr Lv(m2)Par(cf. sch.vet. 281), ὁράσεις Chalc, βλέψεις Ho(m2).
book 281b	σκοπὸς τρία σημαίνει· ἡ ἔννοια, ὁ πρωτοφανὴς καρπὸς καὶ ὁ φύλαξ Cr(mrg.).
book 282a	ἀρδομέναν] ποτιζομένην (cf. sch.vet. 282) τοῖς κύμασι Par, ποτί‐ ζουσαν, τρέφουσαν Lb, πιαινομένην Va, ὑφ’ ἡμῶν Cr Lv(m2) Par.
book 282b	ἱερὰν] τιμίαν VaHarl.5.
book 283a	ζαθέων] λίαν θεόντων Par, ἄγαν θεόντων lChalc, ἄγαν τρεχόντων Harl.5, ἤγουν ταχέων Par, ἄγαν θείων Cant.2 Vict (cf. sch.vet. 283a), θαυ‐ μαστῶν Vict (utrumque Hesch. Ζ 17).
book 283b	κελαδήματα] ἀπηχήματα ParCant.2, ἠχήματα lChalcHarl.5 (= sch.vet. 283b), κρ..ν.. τὰς βοάς Vict (i.e. κραυγάς, τ. β., Hesch. Κ 2129; temere κρότους, βοάς coni. Dd, Add. p. 403 et Adn. Db).
book 284a	κελάδοντα] ἠχητικόν Cant.2LbHarl.5.
book 284b	βαρύβρομον] γρ. βαρύδιν[ον] Lh(m3).
book 284c	βαρύβρομον] μεγαλόκτυπον Cant.2, τὴν μεγάλως ἠχοῦσαν Lb (qui πόντον] θάλασσαν; μεγάλως tantum Va), βαρέως καὶ μεγάλως βρόμον καὶ κτύπον τινὰ ἀποτελοῦντα Chalc, τὸν μεγάλως βρέμοντα καὶ ἠχοῦντα Harl.5, μεγαλόψοφον Vict (Hesch. Β 257).
book 285a	ὄμμα ... αἰθέρος] τὸ φῶς τοῦ ἡλίου Par, ἤγουν αὐτὸς ὁ αἰθὴρ Lb ChalcHarl.5 ἢ ὁ ἥλιος (cf. 285a Tr1) Lb περιφραστικῶς Chalc.
book 285b	ὄμμα] ὀφθαλμόν Va.
book 285c	ὄμμα αἰθέρος τὸν ἥλιον ἔοικε λέγειν, ἐπεὶ καὶ οἱ τραγικοὶ εἰώθασιν οὕτως αὐτὸν HoHarl.5 καλεῖν , ὀφθαλμὸν δηλαδή Lb. [δηλονότι Va.] ἔστι δὲ καὶ παρὰ τοῖς φιλοσόφοις τοιαύτη δόξα, ὥστε ὀφθαλμὸν τὸν ἥλιον HoHarl.5 καὶ ἡγεμόνα l τοῦ οὐρανοῦ τὸν ἥλιον Va καλεῖν.
book 286a	ἀκάματον] ἀκαταπόνητον Cant.2, ἀκαταπαύστως LbHarl.5, τὸ ἀκατάπαυστον Va, ὁ ἄκοπος Chalc (sc. αἰθήρ, cf. 285a).
book 286b	σελαγεῖται] αὐγάζει Cr.
book 287	μαρμαρέαισιν] λελαμπρυσμέναις Chalc, λαμπροτάταις Harl.5.
book 288a	ἀποσεισάμεναι] ἀποτιναξάμεναι Par, ἀποβαλοῦσαι Cant.2, ἀποβαλό‐ μεναι A.
book 288b	ἀποσείω τὸ ἀποτινάσσω καὶ τὸ ἀποσκευάζω· ἐκ μιᾶς ἐννοίας ἐξέ‐ βησαν ἤγουν ἐκ τοῦ βάρους Cr(mrg.).
book 288c	ὄμβριμον] γρ. ὄμβριον, ἤγουν τὸ σκότασμα Cr.
book 288d	ὄμβριον] τὸ πλῆρες ὄμβρου Par, ὅπερ ὁ ὄμβρος φέρει Cant.2.
book 289a	ἀθανάταις] ἀθανάτοις Cant.2, καθαραῖς A.
book 289b	ἐπεὶ καὶ γυναικοειδεῖς εἰσιέναι μέλλουσι καὶ ἐν ἄλλοις διαφόροις ὁμοιώμασι, τοῦτό φασιν ἐμπαρασκευαζόμεναι εἰς τὴν εἴσοδον, ὡς ὅμοιαι μὲν τοῖς ἄλλοις θεοῖς οὖσαι, περικείμεναι δὲ τὴν φύσιν τῶν νεφῶν.
book 290a	τηλεσκόπῳ] καθαρὰν βλέποντι Chis(variat Th2Tr1/2 290), πόρρω ὁρῶντι Vict (Hesch. Τ 767 Schm.).
book 290b	γαῖαν] ἐπί Lv(m2?) Par.
book 291a	ἀναπαιστικοὶ τετράμετροι * Reg(int.).
book 291b	σεμναὶ] τίμιαι Cant.2VaHoBa(m4), σεβάσμιαι Cant.1 (pars rec.) LbChalc. Harl.5.
book 291c	φανερῶς] ὁμολογουμένως Chalc.
book 292a	ἀποστροφὴ πρὸς τὸν Στρεψιάδην Cr(int.) (cf. sch.vet. 291a, fin., et Tz1 292a).
book 292b	ᾔσθου] ἐνόησας Cant.2Lb, ἤκουσας Ba(m4), (cf. sch.vet. 292a).
book 292c	μυκησαμένης] ἠχησάσης δίκην βροντῆς Chis (variat 292b Tr2).
book 292d	θεοσέπτου] σεμνῆς Cant.1 (pars rec.), τῆς ὡς θεοῦ σεπτῆς Lb, τῆς ὑπὸ θεῶν σεβομένης ἢ θείας Va, τῆς τιμωμένης ὑπὸ τῶν θεῶν Chalc (cf. sch.vet. 292e), τῆς τιμίας Harl.5.
book 293a	σέβομαί] τιμῶ ParCant.2lChalcHarl.5 ὑμᾶς LbChalcHoHarl.5.
book 293b	πολυτίμητοι] ἀεισέβαστοι Cant.2, πολλῆς τιμῆς l πολλοῦ Harl.5 ἄξιαι lHarl.5.
book 293c	ἀνταποπαρδεῖν] ἀντικλάσαι ParCant.2, ἀντικτυπῆσαι (cf. sch.vet. 293cβ in.), ἀντιβροντῆσαι Par, ἐξ ἐναντίας ἀντηχεῖν Cr, ἀντηχῆσαι Lb (cf. sch.vet. 293cβ in.).
book 293d	ὁ μὲν Στρεψιάδης, ὡς εἰκὸς τῶν Νεφελῶν φανεισῶν καὶ βροντησα‐ σῶν, ὥσπερ ἐκπλαγεὶς δῆθεν νοῆσαί τε αὐτάς φησι καὶ σέβεσθαι καὶ φοβεῖ‐ σθαι· ὁ δὲ ποιητῆς οὗτος τὸ ἀνταποπαρδεῖν ἐπιτηδείως προσέθηκεν l [παρέ‐ θηκεν], ἵνα δοκῇ μὲν φόβου τε καὶ σχέσεως σημεῖον εἶναι πρὸς αὐτάς, τῇ δ’ ἀληθείᾳ ὑπάρχῃ παίγνιον καὶ καταφρόνησις αὐτῶν, ὡς μηδαμῶς ἀξίων οὐσῶν παρά τινος σέβεσθαι οὕτως l.
book 294a	πρὸς τὰς βροντάς] ἕνεκεν τιμῆς τῶν βροντῶν Par.
book 294b	τετρεμαίνω] καὶ δειλιῶ Reg, τρέμω ParCant.2lChalcHarl.5 (cf. sch.vet. 294) ποιητικῶς Chalc, κατ’ εἰρωνείαν Cr, φοβοῦμαι Ho.
book 295a	θέμις] πρέπον ParCant.2LbChalc, δίκαιον Cant.2lChalcHoHarl.5.
book 295b	ἤδη] ἀπάρτι Cr.
book 295c	χεσείω] ὀρέγομαι χεσεῖν· αἰολικῶς Cr, ἐπιθυμῶ χέσαι Harl.5, παίζω Cant.2 (πέζω?).
